username,user_role,sample_id,title,author,truth_genre,source_type,origin,is_poetry,quality_grade,updated_at
annotator_02,annotator,109461,幸福的一日 致秋天的花楸树,Haizi,poem,ai,,true,3,Thu Aug 13 2026 09:49:19 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,109885,桃花时节,LiBai,poem,ai,,true,3,Thu Aug 13 2026 10:19:26 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,109908,星月的来由,LiBai,poem,ai,,true,3,Thu Aug 13 2026 10:19:28 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,110147,无题,,nonpoem,news,,true,1,Thu Aug 13 2026 10:19:31 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,109901,门前,LiBai,poem,ai,,true,3,Thu Aug 13 2026 10:19:40 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109921,分布,LiBai,poem,ai,,true,4,Thu Aug 13 2026 13:57:02 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109872,在深夜的左侧,LiBai,poem,ai,,true,3,Thu Aug 13 2026 14:27:19 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109889,秋望,LiBai,poem,ai,,true,3,Thu Aug 13 2026 14:28:15 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109892,小树,LiBai,poem,ai,,true,2,Thu Aug 13 2026 14:30:55 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109883,安慰,LiBai,poem,ai,,true,4,Thu Aug 13 2026 14:31:21 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109850,佛语,LiBai,poem,ai,,true,2,Thu Aug 13 2026 14:33:33 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109800,小树,LiBai,poem,ai,,true,1,Thu Aug 13 2026 14:33:51 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109864,摄,LiBai,poem,ai,,true,3,Thu Aug 13 2026 14:34:24 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109915,祭,LiBai,poem,ai,,true,4,Thu Aug 13 2026 14:38:03 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109950,遥寄,LiBai,poem,ai,,true,3,Thu Aug 13 2026 14:39:28 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109798,佛语,LiBai,poem,ai,,true,2,Thu Aug 13 2026 14:39:45 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109893,阿尔的太阳,LiBai,poem,ai,,true,3,Thu Aug 13 2026 14:40:13 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109867,希望者：,LiBai,poem,ai,,true,4,Thu Aug 13 2026 14:45:25 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109873,在大风暴来临的时候,LiBai,poem,ai,,true,3,Thu Aug 13 2026 14:45:51 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109945,肉体（之二）,LiBai,poem,ai,,true,1,Thu Aug 13 2026 14:48:34 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109938,给我逝去的老祖母,LiBai,poem,ai,,true,3,Thu Aug 13 2026 14:52:07 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109863,割草谣,LiBai,poem,ai,,true,4,Thu Aug 13 2026 14:57:36 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109939,云朵,LiBai,poem,ai,,true,4,Thu Aug 13 2026 15:00:04 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109818,星岛的夜,LiBai,poem,ai,,true,3,Thu Aug 13 2026 15:00:24 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109841,我是你的太阳,LiBai,poem,ai,,true,4,Thu Aug 13 2026 15:06:38 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109813,冬天的雨,LiBai,poem,ai,,true,5,Thu Aug 13 2026 15:07:04 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109794,盲目,LiBai,poem,ai,,true,3,Thu Aug 13 2026 15:07:31 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109801,酒杯,LiBai,poem,ai,,true,5,Thu Aug 13 2026 15:07:48 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109769,情诗一束,LiBai,poem,ai,,true,5,Thu Aug 13 2026 15:13:02 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109884,我耕耘,LiBai,poem,ai,,true,4,Thu Aug 13 2026 15:15:34 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109862,十四行：玫瑰花园,LiBai,poem,ai,,true,5,Thu Aug 13 2026 15:17:03 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109829,十四行：玫瑰花园,LiBai,poem,ai,,true,4,Thu Aug 13 2026 15:20:21 GMT+0000 (Coordinated Universal Time)
annotator_06,annotator,109947,草原上,LiBai,poem,ai,,true,4,Thu Aug 13 2026 15:21:50 GMT+0000 (Coordinated Universal Time)
