username,user_role,sample_id,title,author,truth_genre,source_type,origin,is_poetry,quality_grade,updated_at
annotator_04,annotator,162,合唱队,张枣,poem,modern,,false,,Mon Aug 10 2026 07:59:07 GMT+0000 (Coordinated Universal Time)
annotator_04,annotator,66,九月的云,海子,poem,modern,,true,,Mon Aug 10 2026 07:59:23 GMT+0000 (Coordinated Universal Time)
annotator_04,annotator,567,无题,,nonpoem,social,,false,,Mon Aug 10 2026 07:59:39 GMT+0000 (Coordinated Universal Time)
annotator_04,annotator,917,我眼中的创业园区,,nonpoem,news,,false,,Mon Aug 10 2026 07:59:47 GMT+0000 (Coordinated Universal Time)
annotator_04,annotator,450,鸦,杜牧,poem,classic,,false,,Mon Aug 10 2026 07:59:54 GMT+0000 (Coordinated Universal Time)
annotator_04,annotator,343,赠常侍御,李白,poem,classic,,true,,Mon Aug 10 2026 08:00:01 GMT+0000 (Coordinated Universal Time)
annotator_04,annotator,983,所见·其实一直有一个大,,nonpoem,news,,false,,Mon Aug 10 2026 08:00:08 GMT+0000 (Coordinated Universal Time)
annotator_04,annotator,763,无题,,nonpoem,news,,false,,Mon Aug 10 2026 08:00:37 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,267,答张五弟,王维,poem,classic,,true,,Wed Aug 12 2026 09:05:28 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,377,风雨,李商隐,poem,classic,,true,,Wed Aug 12 2026 09:05:33 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,590,确实，然后,,nonpoem,social,,false,,Wed Aug 12 2026 09:05:40 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,100,太平洋的献诗,海子,poem,modern,,true,,Wed Aug 12 2026 09:06:15 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,739,关于感觉冷静沉着,,nonpoem,social,,false,,Wed Aug 12 2026 09:06:22 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,346,塞外寄张侍御,姚鹄,poem,classic,,true,,Wed Aug 12 2026 09:06:27 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,329,奉和圣制春日幸望春宫应制,韦元旦,poem,classic,,true,,Wed Aug 12 2026 09:06:29 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,871,无题,,nonpoem,news,,false,,Wed Aug 12 2026 09:06:32 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,524,聊聊看不懂博主是学校,,nonpoem,social,,false,,Wed Aug 12 2026 09:06:34 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,216,月下待杜鹃不来,徐志摩,poem,modern,,true,,Wed Aug 12 2026 09:06:36 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,516,我眼中的地球在我屁股底下,,nonpoem,social,,false,,Wed Aug 12 2026 09:07:00 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,986,关于单品,,nonpoem,news,,false,,Wed Aug 12 2026 09:07:05 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,332,于易水送人,骆宾王,poem,classic,,true,,Wed Aug 12 2026 09:07:06 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,249,珊瑚,徐志摩,poem,modern,,false,,Wed Aug 12 2026 09:07:10 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,823,无题,,nonpoem,news,,false,,Wed Aug 12 2026 09:07:13 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,969,无题,,nonpoem,news,,false,,Wed Aug 12 2026 09:07:15 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,163,夜,张枣,poem,modern,,false,,Wed Aug 12 2026 09:07:20 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,698,今天的我的翻译是,,nonpoem,social,,false,,Wed Aug 12 2026 09:07:22 GMT+0000 (Coordinated Universal Time)
annotator_02,annotator,205,在火车中的一次心软 (1),徐志摩,poem,modern,,false,,Wed Aug 12 2026 09:07:24 GMT+0000 (Coordinated Universal Time)
